"ID_STAZ","DATARIL","VALORE"
"730","2020-07-03 13:00:00.0","26.40"
"730","2020-07-03 12:00:00.0","25.40"
"730","2020-07-03 11:00:00.0","25.20"
"730","2020-07-03 10:00:00.0","25.50"
"730","2020-07-03 09:00:00.0","24.70"
"730","2020-07-03 08:00:00.0","25.80"
"730","2020-07-03 07:00:00.0","24.80"
"730","2020-07-03 06:00:00.0","22.30"
"730","2020-07-03 05:00:00.0","19.70"
"730","2020-07-03 04:00:00.0","19.30"
"730","2020-07-03 03:00:00.0","19.70"
"730","2020-07-03 02:00:00.0","19.10"
"730","2020-07-03 01:00:00.0","20.60"
"730","2020-07-03 00:00:00.0","21.70"
"731","2020-07-03 23:00:00.0","18.80"
"731","2020-07-03 22:00:00.0","18.70"
"731","2020-07-03 21:00:00.0","18.60"
"731","2020-07-03 20:00:00.0","19.30"
"731","2020-07-03 19:00:00.0","21.20"
"731","2020-07-03 18:00:00.0","24.10"
"731","2020-07-03 17:00:00.0","25.90"
"731","2020-07-03 16:00:00.0","26.70"
"731","2020-07-03 15:00:00.0","26.40"
"731","2020-07-03 14:00:00.0","27.10"
"731","2020-07-03 13:00:00.0","28.10"
"731","2020-07-03 12:00:00.0","27.00"
"731","2020-07-03 11:00:00.0","26.70"
"731","2020-07-03 10:00:00.0","26.10"
"731","2020-07-03 09:00:00.0","25.20"
"731","2020-07-03 08:00:00.0","25.20"
"731","2020-07-03 07:00:00.0","27.10"
"731","2020-07-03 06:00:00.0","25.10"
"731","2020-07-03 05:00:00.0","19.30"
"731","2020-07-03 04:00:00.0","17.60"
"731","2020-07-03 03:00:00.0","18.50"
"731","2020-07-03 02:00:00.0","19.30"
"731","2020-07-03 01:00:00.0","17.40"
"731","2020-07-03 00:00:00.0","18.40"
"737","2020-07-03 23:00:00.0","16.80"
"737","2020-07-03 22:00:00.0","17.00"
"737","2020-07-03 21:00:00.0","17.00"
"737","2020-07-03 20:00:00.0","16.90"
"737","2020-07-03 19:00:00.0","18.40"
"737","2020-07-03 18:00:00.0","22.10"
"737","2020-07-03 17:00:00.0","23.50"
"737","2020-07-03 16:00:00.0","24.20"
"737","2020-07-03 15:00:00.0","25.00"
"737","2020-07-03 14:00:00.0","26.20"
"737","2020-07-03 13:00:00.0","25.40"
"737","2020-07-03 12:00:00.0","24.80"
"737","2020-07-03 11:00:00.0","25.30"
"737","2020-07-03 10:00:00.0","24.70"
"737","2020-07-03 09:00:00.0","24.90"
"737","2020-07-03 08:00:00.0","27.10"
"737","2020-07-03 07:00:00.0","25.30"
"737","2020-07-03 06:00:00.0","20.90"
"737","2020-07-03 05:00:00.0","18.60"
"737","2020-07-03 04:00:00.0","17.50"
"737","2020-07-03 03:00:00.0","17.70"
"737","2020-07-03 02:00:00.0","18.10"
"737","2020-07-03 01:00:00.0","18.30"
"737","2020-07-03 00:00:00.0","17.80"
"740","2020-07-03 23:00:00.0","20.30"
"740","2020-07-03 22:00:00.0","21.50"
"740","2020-07-03 21:00:00.0","21.70"
"740","2020-07-03 20:00:00.0","22.40"
"740","2020-07-03 19:00:00.0","23.30"
"740","2020-07-03 18:00:00.0","25.50"
"740","2020-07-03 17:00:00.0","27.70"
"740","2020-07-03 16:00:00.0","29.00"
"740","2020-07-03 15:00:00.0","30.40"
"740","2020-07-03 14:00:00.0","31.80"
"740","2020-07-03 13:00:00.0","32.00"
"740","2020-07-03 12:00:00.0","31.70"
"740","2020-07-03 11:00:00.0","31.40"
"740","2020-07-03 10:00:00.0","30.80"
"740","2020-07-03 09:00:00.0","30.30"
"740","2020-07-03 08:00:00.0","26.90"
"740","2020-07-03 07:00:00.0","20.90"
"740","2020-07-03 06:00:00.0","18.20"
"740","2020-07-03 05:00:00.0","17.40"
"740","2020-07-03 04:00:00.0","17.40"
"740","2020-07-03 03:00:00.0","18.40"
"740","2020-07-03 02:00:00.0","18.30"
"740","2020-07-03 01:00:00.0","18.80"
"740","2020-07-03 00:00:00.0","19.30"
"747","2020-07-03 23:00:00.0","21.10"
"747","2020-07-03 22:00:00.0","21.30"
"747","2020-07-03 21:00:00.0","21.90"
"747","2020-07-03 20:00:00.0","23.00"
"747","2020-07-03 19:00:00.0","23.90"
"747","2020-07-03 18:00:00.0","24.90"
"747","2020-07-03 17:00:00.0","26.10"
"747","2020-07-03 16:00:00.0","27.50"
"747","2020-07-03 15:00:00.0","28.50"
"747","2020-07-03 14:00:00.0","29.50"
"747","2020-07-03 13:00:00.0","30.80"
"747","2020-07-03 12:00:00.0","32.90"
"747","2020-07-03 11:00:00.0","33.30"
